L___1260nm_X,L___1260nm_Y,L___1080nm_X,L___1080nm_Y,L___900nm_X,L___900nm_Y,L___720nm_X,L___720nm_Y,L___540nm_X,L___540nm_Y,L___360nm_X,L___360nm_Y,L___180nm_X,L___180nm_Y
2.244,466400000,2.244,621000000,2.245,869000000,2.244,1306000000,2.239,2196000000,2.216,4531000000,2.165,15070000000
2.28246893787575,460467773.338184,2.28262925851703,613363993.058597,2.28384769539078,858178328.306889,2.28309018036072,1290448548.18828,2.27838076152305,2171477797.745,2.25570741482966,4485299428.40792,2.20587174348697,14962540967.3755
2.3209378757515,454739387.745022,2.32125851703407,605751041.554684,2.32269539078156,847856054.109049,2.32218036072144,1275475180.30389,2.31776152304609,2147266964.82902,2.29541482965932,4440890911.28586,2.24674348697395,14861005348.5757
2.35940681362725,449022721.140316,2.3598877755511,598265642.971648,2.36154308617234,837656811.247894,2.36127054108216,1261270163.97569,2.35714228456914,2123972134.38344,2.33512224448898,4396174839.86045,2.28761523046092,14756540352.7459
2.39787575150301,443476106.275273,2.39851703406814,591089290.1749,2.40039078156313,827753169.123018,2.40036072144289,1246001886.50534,2.39652304609218,2101073451.68419,2.37482965931864,4353703084.8574,2.3284869739479,14649549547.8681
2.43634468937876,438134900.030798,2.43714629258517,583980306.988423,2.43923847695391,818170928.539414,2.43945090180361,1232127836.34525,2.43590380761523,2078640489.60647,2.4145370741483,4310836682.29569,2.36935871743487,14546366669.1246
2.47481362725451,432935955.732232,2.4757755511022,577279548.331297,2.47808617234469,808887064.28049,2.47854108216433,1218096778.60256,2.47528456913828,2055719791.47236,2.45424448897796,4269834183.09953,2.41023046092184,14445336734.8433
2.51328256513026,427853939.749716,2.51440480961924,570534955.003561,2.51693386773547,799705395.574488,2.51763126252505,1205056540.57564,2.51466533066132,2034488698.80545,2.49395190380762,4229061879.74274,2.45110220440882,14347903960.5751
2.55175150300601,422971533.08146,2.55303406813627,564024848.129724,2.55578156312625,790634728.156475,2.55672144288577,1191855393.13983,2.55404609218437,2013357234.96917,2.53365931863727,4190259599.80287,2.49197394789579,14255129875.7684
2.59022044088176,418113697.721466,2.59166332665331,557731299.683642,2.59462925851703,781963222.473024,2.59581162324649,1179531244.76812,2.59342685370741,1993226472.37651,2.57336673346693,4151571321.76639,2.53284569138277,14159295597.5457
2.62868937875752,413501282.025292,2.63029258517034,551542759.058374,2.63347695390782,773418120.404846,2.63490180360721,1166813390.56752,2.63280761523046,1973070589.61609,2.61307414829659,4112688078.19481,2.57371743486974,14059459329.3486
2.66715831663327,408928660.538899,2.66892184368738,545602937.133985,2.6723246492986,765107943.099067,2.67399198396794,1154498651.54228,2.67218837675351,1953410670.69241,2.65278156312625,4075452447.34681,2.61458917835671,13965056870.1151
2.70562725450902,404428841.014328,2.70755110220441,539699896.586881,2.71117234468938,757092802.651316,2.71308216432866,1142466816.07485,2.71156913827655,1934154409.40338,2.69248897795591,4039180320.44528,2.65546092184369,13873436355.0337
2.74409619238477,400120132.116226,2.74618036072144,533937592.456019,2.75002004008016,749066660.726872,2.75217234468938,1130949865.05573,2.7509498997996,1915796113.37013,2.73219639278557,4003267209.4331,2.69633266533066,13782943875.24
2.78256513026052,395756279.243246,2.78480961923848,528315183.529995,2.78886773547094,741335804.360323,2.7912625250501,1119646331.26107,2.79033066132265,1896891784.80458,2.77190380761523,3968592285.33318,2.73720440881764,13696650734.4745
2.82103406813627,391687357.520977,2.82343887775551,522917631.080868,2.82771543086172,733896726.836402,2.83035270541082,1108527671.66649,2.82971142284569,1879072904.30607,2.81161122244489,3934760668.92353,2.77807615230461,13607159169.943
