L_1260nm_X,L_1260nm_Y,L_1080nm_X,L_1080nm_Y,L_900nm_X,L_900nm_Y,L_720nm_X,L_720nm_Y,L_540nm_X,L_540nm_Y,L_360nm_X,L_360nm_Y,L_180nm_X,L_180nm_Y
2.308,159.9,2.294,144.2,2.276,128.2,2.246,112.1,2.193,95.53,2.068,72.93,1.661,23.85
2.34896593186373,161.774200442081,2.33535470941884,145.805369929506,2.31785170340681,129.680393728435,2.28847294589178,113.405731048311,2.23626052104208,96.632965978053,2.11209218436874,73.7536103115618,1.70564729458918,24.0848574616394
2.38993186372745,163.545083152321,2.37670941883768,147.463040035163,2.35970340681363,131.131770213359,2.33094589178357,114.626042494633,2.27952104208417,97.6835534386722,2.15618436873747,74.5396159149618,1.75029458917836,24.3065698819888
2.43089779559118,165.228015893009,2.41806412825651,148.953374267379,2.40155511022044,132.498723763339,2.37341883767535,115.857984338548,2.32278156312625,98.7247132501832,2.20027655310621,75.3132264937487,1.79494188376754,24.528661912156
2.47186372745491,166.979120381112,2.45941883767535,150.503259571723,2.44340681362725,133.861234675048,2.41589178356713,117.035063027185,2.36604208416834,99.6846487040201,2.24436873747495,76.0554830246346,1.83958917835671,24.7421054841797
2.51282965931864,168.505564200995,2.50077354709419,151.988205479028,2.48525851703407,135.163499602606,2.45836472945892,118.151950164122,2.40930260521042,100.718561023906,2.28846092184369,76.7908559905005,1.88423647294589,24.941956349046
2.55379559118236,170.115854552161,2.54212825651303,153.372251114028,2.52711022044088,136.450633629528,2.5008376753507,119.288405732283,2.4525631262525,101.68447438591,2.33255310621242,77.492516915281,1.92888376753507,25.1517913687562
2.59476152304609,171.591321712937,2.58348296593186,154.72000246541,2.5689619238477,137.687457524493,2.54331062124248,120.314306196767,2.49582364729459,102.586397144587,2.37664529058116,78.1914673554554,1.97353106212425,25.3489542209922
2.63572745490982,173.12655269198,2.6248376753507,156.029294403329,2.61081362725451,138.813916877382,2.58578356713427,121.409683211214,2.53908416833667,103.482779353219,2.4207374749499,78.8559926698221,2.01817835671343,25.5442162691086
2.67669338677355,174.522442685269,2.66619238476954,157.409332501376,2.65266533066132,139.978470389312,2.62825651302605,122.474267905822,2.58234468937876,104.326079561671,2.46482965931864,79.5271914835238,2.06282565130261,25.7389193857568
2.71765931863727,175.854437953412,2.70754709418838,158.668597019537,2.69451703406814,141.127329187975,2.67072945891784,123.426757819401,2.62560521042084,105.232814347898,2.50892184368737,80.169945779934,2.10747294589178,25.9244400095171
2.758625250501,177.285606413459,2.74890180360721,159.892878686136,2.73636873747495,142.22359128067,2.71320240480962,124.400479966709,2.66886573146293,106.101007351853,2.55301402805611,80.7989376439923,2.15212024048096,26.1081851409094
2.79959118236473,178.580656797414,2.79025651302605,161.072733207337,2.77822044088176,143.316811280157,2.7556753507014,125.405432213556,2.71212625250501,106.873371259802,2.59710621242485,81.4078763154222,2.19676753507014,26.2890213308094
2.84055711422846,179.788582127487,2.83161122244489,162.220900122361,2.82007214428858,144.385218942784,2.79814829659319,126.306628260313,2.75538677354709,107.677769165311,2.64119839679359,81.9969438834105,2.24141482965932,26.4633975505578
2.88152304609218,181.083940255036,2.87296593186373,163.354970380027,2.86192384769539,145.403824635539,2.84062124248497,127.169589177083,2.79864729458918,108.500842468092,2.68529058116232,82.5868269370872,2.2860621242485,26.6352967201599
2.92248897795591,182.331610345459,2.91432064128256,164.454760257261,2.9037755511022,146.408550369597,2.88309418837675,128.08241255056,2.84190781563126,109.229800107876,2.72938276553106,83.1633773683439,2.33070941883768,26.8082602685192
2.96345490981964,183.476679423638,2.9556753507014,165.523989600067,2.94562725450902,147.378783411212,2.92556713426854,128.878309262591,2.88516833667335,110.002928183213,2.7734749498998,83.7243188571633,2.37535671342685,26.9853009788892
3.00442084168337,184.621870260452,2.99703006012024,166.575995098037,2.98747895791583,148.242206789147,2.96804008016032,129.726227364622,2.92842885771543,110.733384186916,2.81756713426854,84.2675965443071,2.42000400801603,27.1538776027598
3.04538677354709,185.725231885905,3.03838476953908,167.574094355874,3.02933066132265,149.160378589802,3.0105130260521,130.600402404203,2.97168937875752,111.389351051755,2.86165931863727,84.8008146598746,2.46465130260521,27.3123413455087
3.08635270541082,186.796754378769,3.07973947895792,168.571444362823,3.07118236472946,150.076450491858,3.05298597194389,131.392523420344,3.0149498997996,112.051018290818,2.90575150300601,85.3283016209972,2.50929859719439,27.4765281340656
3.12731863727455,187.837495520385,3.12109418837675,169.550831154108,3.11303406813627,150.945951477498,3.09545891783567,132.104330310839,3.05821042084168,112.766889335968,2.94984368737475,85.8372131253931,2.55394589178357,27.6441882340267
3.16828456913828,188.855627748931,3.16244889779559,170.487568277775,3.15488577154309,151.813628450134,3.13793186372745,132.873870172362,3.10147094188377,113.431084956004,2.99393587174349,86.3305510601633,2.59859318637275,27.797254919851
3.209250501002,189.863318016492,3.20380360721443,171.41951171226,3.1967374749499,152.657587629383,3.18040480961924,133.645193187006,3.14473146292585,114.039351658808,3.03802805611222,86.8163827807418,2.64324048096192,27.9539806395091
3.25021643286573,190.846787999286,3.24515831663327,172.321287332783,3.23858917835671,153.491203538589,3.22287775551102,134.380433669392,3.18799198396794,114.690742028027,3.08212024048096,87.2989465789247,2.6878877755511,28.1142824187463
3.29118236472946,191.807048953235,3.2865130260521,173.195198443548,3.28044088176353,154.299312187339,3.26535070140281,135.123219419978,3.23125250501002,115.355602018062,3.1262124248497,87.771122303944,2.73253507014028,28.2661731568478
3.33214829659319,192.745900553326,3.32786773547094,174.065370856084,3.32229258517034,155.017433305177,3.30782364729459,135.806346607873,3.2745130260521,115.979878272914,3.17030460921844,88.229511972011,2.77718236472946,28.4112586599101
