L___1260nm_X,L___1260nm_Y,L___1080nm_X,L___1080nm_Y,L___900nm_X,L___900nm_Y,L___720nm_X,L___720nm_Y,L___540nm_X,L___540nm_Y,L___360nm_X,L___360nm_Y,L___180nm_X,L___180nm_Y
1.36,520800000,1.367,689600000,1.376,956600000,1.388,1416000000,1.401,2313000000,1.406,4458000000,1.359,12130000000
1.40374749498998,526379824.035582,1.41111422845691,697110665.602744,1.42055711422846,967243668.065716,1.43305410821643,1432667002.44221,1.44664929859719,2340039152.30844,1.4523006012024,4515129605.25269,1.40569539078156,12312821713.7434
1.44749498997996,531714868.88564,1.45522845691383,704421164.789755,1.46511422845691,977365013.08788,1.47810821643287,1448373816.69078,1.49229859719439,2367019964.49799,1.49860120240481,4569954481.12024,1.45239078156313,12488380647.6291
1.49124248496994,536767728.67284,1.49934268537074,711186737.047228,1.50967134268537,987020747.239058,1.5231623246493,1462342069.57636,1.53794789579158,2391813883.04458,1.54490180360721,4620430761.27297,1.49908617234469,12657449733.1034
1.53498997995992,541590660.804204,1.54345691382766,717677873.949692,1.55422845691383,996221246.525661,1.56821643286573,1476879940.39021,1.58359719438878,2415743424.1763,1.59120240480962,4670412276.17012,1.54578156312625,12819938247.1847
1.5787374749499,546186119.477504,1.58757114228457,723803624.166873,1.59878557114228,1005212837.24897,1.61327054108216,1489910549.21109,1.62924649298597,2438167064.11669,1.63750300601202,4717506874.90641,1.59247695390782,12973566187.4266
1.62248496993988,550569320.033484,1.63168537074148,729717392.321638,1.64334268537074,1013185479.85711,1.6583246492986,1502316534.91732,1.67489579158317,2460234869.85412,1.68380360721443,4763972919.38966,1.63917234468938,13123609773.1624
1.66623246492986,554676711.423773,1.6757995991984,735284185.9376,1.6878997995992,1021025138.19727,1.70337875751503,1514801055.95896,1.72054509018036,2480025265.0409,1.73010420841683,4806095148.1859,1.68586773547094,13266784351.0784
1.70997995991984,558688027.338607,1.71991382765531,740768366.245245,1.73245691382766,1029032593.94024,1.74843286573146,1526703745.127,1.76619438877756,2500017425.66263,1.77640480961924,4848921999.57982,1.7325631262525,13403796484.2883
1.75372745490982,562474329.051093,1.76402805611222,745846159.202493,1.77701402805611,1035846473.99696,1.7934869739479,1537705905.93426,1.81184368737475,2519350935.89767,1.82270541082164,4887675352.6325,1.77925851703407,13527469371.9068
1.7974749498998,566143228.205763,1.80814228456914,750690525.373323,1.82157114228457,1043239125.67943,1.83854108216433,1548285391.4384,1.85749298597194,2538207641.95789,1.86900601202405,4926038313.611,1.82595390781563,13650351635.7958
1.84122244488978,569605034.062435,1.85225651302605,755472892.019549,1.86612825651303,1049472757.8676,1.88359519038076,1558578929.44151,1.90314228456914,2555439908.34522,1.91530661322645,4964210077.61001,1.87264929859719,13774230865.4867
1.88496993987976,572928393.407665,1.89637074148297,759961705.87195,1.91068537074148,1056527871.74647,1.92864929859719,1568250988.3731,1.94879158316633,2572125711.55548,1.96160721442886,4999186967.51789,1.91934468937876,13884823262.5643
1.92871743486974,576193343.115018,1.94048496993988,764439956.585185,1.95524248496994,1062309946.37728,1.97370340681363,1577671167.56106,1.99444088176353,2589096856.72586,2.00790781563126,5033053948.70349,1.96604008016032,13995478607.8744
1.97246492985972,579350662.361895,1.98459919839679,768591456.055683,1.9997995991984,1068838221.79598,2.01875751503006,1586799588.19578,2.04009018036072,2604606100.20712,2.05420841683367,5065825569.7518,2.01273547094188,14103604711.1556
2.0162124248497,582307833.075653,2.02871342685371,772545404.372987,2.04435671342685,1074182864.47355,2.06381162324649,1595588198.12224,2.08573947895792,2619173538.89806,2.10050901803607,5097585233.0161,2.05943086172345,14198944255.6961
2.05995991983968,585159375.498723,2.07282765531062,776524052.917002,2.08891382765531,1080157395.94187,2.10886573146293,1604088346.98503,2.13138877755511,2634145077.03672,2.14680961923848,5128328817.78225,2.10612625250501,14294014563.621
