L___1260nm_X,L___1260nm_Y,L___1080nm_X,L___1080nm_Y,L___900nm_X,L___900nm_Y,L___720nm_X,L___720nm_Y,L___540nm_X,L___540nm_Y,L___360nm_X,L___360nm_Y,L___180nm_X,L___180nm_Y
1.764,1.473,1.776,1.513,1.792,1.571,1.815,1.663,1.844,1.832,1.859,2.217,1.698,2.919
1.806857715,1.541748741,1.819234469,1.585492291,1.835643287,1.647707375,1.859138277,1.746148599,1.888701403,1.925664227,1.904312625,2.333741742,1.743815631,3.037286678
1.849715431,1.615280416,1.862468938,1.661035193,1.879286573,1.727106292,1.903276553,1.833578033,1.933402806,2.024422574,1.949625251,2.453110525,1.789631263,3.154511076
1.892573146,1.692125284,1.905703407,1.740767693,1.92292986,1.810789423,1.94741483,1.924082557,1.978104208,2.128010341,1.994937876,2.575388069,1.835446894,3.269455742
1.935430862,1.771310398,1.948937876,1.822693245,1.966573146,1.899228985,1.991553106,2.01920521,2.022805611,2.236991227,2.040250501,2.699699256,1.881262525,3.389422939
1.978288577,1.853525438,1.992172345,1.909356319,2.010216433,1.990186211,2.035691383,2.117332386,2.067507014,2.348673479,2.085563126,2.830370861,1.927078156,3.50723437
2.021146293,1.940033434,2.035406814,2.001182561,2.053859719,2.086146866,2.079829659,2.223420889,2.112208417,2.464745147,2.130875752,2.963847552,1.972893788,3.623809416
2.064004008,2.032304089,2.078641283,2.096825616,2.097503006,2.186329204,2.123967936,2.331770774,2.15690982,2.58791394,2.176188377,3.102969514,2.018709419,3.742103927
2.106861723,2.128327044,2.121875752,2.196265822,2.141146293,2.292227082,2.168106212,2.445259,2.201611222,2.714698618,2.221501002,3.242026581,2.06452505,3.860049965
2.149719439,2.227721175,2.16511022,2.300844326,2.184789579,2.402450622,2.212244489,2.56481148,2.246312625,2.846512162,2.266813627,3.388172813,2.110340681,3.979258856
2.192577154,2.331763122,2.208344689,2.410541907,2.228432866,2.518219761,2.256382766,2.689393329,2.291014028,2.983495078,2.312126253,3.533867442,2.156156313,4.097237056
2.23543487,2.44144565,2.251579158,2.524658179,2.272076152,2.640533753,2.300521042,2.819565507,2.335715431,3.124596784,2.357438878,3.686306959,2.201971944,4.214877259
2.278292585,2.556960146,2.294813627,2.644252591,2.315719439,2.765662074,2.344659319,2.954590087,2.380416834,3.272446345,2.402751503,3.840699182,2.247787575,4.334167242
2.321150301,2.678113749,2.338048096,2.771587313,2.359362725,2.897442465,2.388797595,3.095431891,2.425118236,3.426716307,2.448064128,3.997145584,2.293603206,4.451489297
2.364008016,2.804279792,2.381282565,2.902992255,2.403006012,3.036668546,2.432935872,3.244451248,2.469819639,3.584355749,2.493376754,4.158932161,2.339418838,4.568237097
2.406865731,2.937005166,2.424517034,3.039068168,2.446649299,3.182936838,2.477074148,3.400004165,2.514521042,3.745815093,2.538689379,4.323198791,2.385234469,4.68773164
2.449723447,3.077772093,2.467751503,3.184577386,2.490292585,3.336278242,2.521212425,3.558666754,2.559222445,3.914348373,2.584002004,4.490840115,2.4310501,4.806380492
2.492581162,3.223895199,2.510985972,3.339146727,2.533935872,3.495126073,2.565350701,3.725645055,2.603923848,4.091235768,2.629314629,4.661056042,2.476865731,4.923328969
2.535438878,3.376972493,2.554220441,3.49932156,2.577579158,3.660779276,2.609488978,3.899607542,2.648625251,4.271016464,2.674627255,4.833807003,2.522681363,5.04025994
2.578296593,3.539006706,2.59745491,3.664333745,2.621222445,3.834312185,2.653627255,4.078902479,2.693326653,4.453876969,2.71993988,5.010418907,2.568496994,5.158432446
2.621154309,3.708975886,2.640689379,3.839166523,2.664865731,4.013576839,2.697765531,4.268333809,2.738028056,4.645083299,2.765252505,5.190870381,2.614312625,5.276793074
2.664012024,3.886540261,2.683923848,4.023727078,2.708509018,4.201205711,2.741903808,4.463721431,2.782729459,4.842925223,2.81056513,5.373610585,2.660128257,5.395041324
2.706869739,4.072256118,2.727158317,4.21628698,2.752152305,4.399429996,2.786042084,4.662406589,2.827430862,5.044549958,2.855877756,5.557269947,2.705943888,5.512858929
2.749727455,4.267384754,2.770392786,4.416795552,2.795795591,4.60506071,2.830180361,4.870379759,2.872132265,5.24899607,2.901190381,5.742785975,2.751759519,5.629402053
2.79258517,4.471545174,2.813627255,4.625896248,2.839438878,4.818112243,2.874318637,5.087470873,2.916833667,5.460363185,2.946503006,5.931313009,2.79757515,5.745897091
2.835442886,4.684389002,2.856861723,4.844144423,2.883082164,5.04027191,2.918456914,5.311289822,2.96153507,5.67899248,2.991815631,6.123619893,2.843390782,5.863292612
2.878300601,4.909052016,2.900096192,5.07093,2.926725451,5.270971856,2.96259519,5.542705316,3.006236473,5.90113922,3.037128257,6.319332868,2.889206413,5.979781036
2.921158317,5.145755035,2.943330661,5.307374413,2.970368737,5.509881258,3.006733467,5.780820978,3.050937876,6.127815686,3.082440882,6.517068854,2.935022044,6.09522759
2.964016032,5.390244644,2.98656513,5.556541513,3.014012024,5.757469082,3.050871743,6.023527044,3.095639279,6.360493126,3.127753507,6.714731113,2.980837675,6.211333083
3.006873747,5.643905157,3.029799599,5.816665999,3.057655311,6.013938987,3.09501002,6.273980209,3.140340681,6.597717198,3.173066132,6.914073297,3.026653307,6.327892094
3.049731463,5.911056236,3.073034068,6.084166857,3.101298597,6.279372589,3.139148297,6.535119753,3.185042084,6.838825816,3.218378758,7.11851787,3.072468938,6.443783197
3.092589178,6.191640568,3.116268537,6.360070067,3.144941884,6.554044917,3.183286573,6.803501508,3.229743487,7.084367494,3.263691383,7.325591652,3.118284569,6.559134486
3.135446894,6.48387142,3.159503006,6.646787704,3.18858517,6.838319773,3.22742485,7.076614856,3.27444489,7.334340278,3.309004008,7.531809396,3.1641002,6.67444962
3.178304609,6.785250242,3.202737475,6.946995085,3.232228457,7.132621648,3.271563126,7.355071313,3.319146293,7.588434928,3.354316633,7.739067182,3.209915832,6.789690273
3.221162325,7.095870091,3.245971944,7.260600116,3.275871743,7.436236186,3.315701403,7.6401269,3.363847695,7.846776348,3.399629259,7.949844996,3.255731463,6.904688709
3.26402004,7.420836054,3.289206413,7.583102705,3.31951503,7.746951382,3.359839679,7.933315368,3.408549098,8.109659444,3.444941884,8.163724159,3.301547094,7.01965311
3.306877756,7.76133435,3.332440882,7.913781769,3.363158317,8.065093198,3.403977956,8.234723302,3.453250501,8.377324239,3.490254509,8.379677952,3.347362725,7.134905773
3.349735471,8.112065864,3.375675351,8.256585054,3.406801603,8.393541179,3.448116232,8.543275797,3.497951904,8.649835705,3.535567134,8.596904917,3.393178357,7.250211874
