Freq.	V(out)
Step Information: Temp=-40  (Run: 1/3)
3.98107170553493e+007	(-7.35199495186509e+001dB,-2.84203562142613e+000°)
4.46683592150958e+007	(-7.55248612117595e+001dB,-3.30736858472284e+000°)
5.01187233627267e+007	(-7.75310705552107e+001dB,-3.81566677026268e+000°)
5.62341325190343e+007	(-7.95389015936972e+001dB,-4.37329665567691e+000°)
6.30957344480186e+007	(-8.15487608738383e+001dB,-4.98712551406862e+000°)
7.07945784384130e+007	(-8.35611568548979e+001dB,-5.66455062915447e+000°)
7.94328234724272e+007	(-8.55767234562222e+001dB,-6.41351128821480e+000°)
8.91250938133735e+007	(-8.75962482622663e+001dB,-7.24247469835237e+000°)
9.99999999999989e+007	(-8.96207057499157e+001dB,-8.16038369216792e+000°)
1.12201845430195e+008	(-9.16512955576557e+001dB,-9.17655004150551e+000°)
1.25892541179415e+008	(-9.36894851729435e+001dB,-1.03004725198456e+001°)
1.41253754462274e+008	(-9.57370553277711e+001dB,-1.15415540361400e+001°)
1.58489319246109e+008	(-9.77961446925196e+001dB,-1.29086883272042e+001°)
1.77827941003890e+008	(-9.98692879908329e+001dB,-1.44096859602143e+001°)
1.99526231496886e+008	(-1.01959438382304e+002dB,-1.60505152258958e+001°)
2.23872113856831e+008	(-1.04069961121960e+002dB,-1.78343507549101e+001°)
2.51188643150955e+008	(-1.06204581886980e+002dB,-1.97604568131671e+001°)
2.81838293126442e+008	(-1.08367271309229e+002dB,-2.18229868969015e+001°)
3.16227766016834e+008	(-1.10562049477925e+002dB,-2.40098540492949e+001°)
3.54813389233571e+008	(-1.12792702989528e+002dB,-2.63019035650238e+001°)
3.98107170553492e+008	(-1.15062423884701e+002dB,-2.86726737527500e+001°)
4.46683592150958e+008	(-1.17373402922439e+002dB,-3.10890244841162e+001°)
5.01187233627266e+008	(-1.19726433360197e+002dB,-3.35128173676586e+001°)
5.62341325190342e+008	(-1.22120596855778e+002dB,-3.59036439091537e+001°)
6.30957344480185e+008	(-1.24553101976862e+002dB,-3.82223590857608e+001°)
7.07945784384129e+008	(-1.27019325125308e+002dB,-4.04349595848970e+001°)
7.94328234724271e+008	(-1.29513068238597e+002dB,-4.25162198750262e+001°)
8.91250938133734e+008	(-1.32027007732560e+002dB,-4.44524999238725e+001°)
1.00000000000000e+009	(-1.34553275071942e+002dB,-4.62432515545145e+001°)
Step Information: Temp=27  (Run: 2/3)
1.00000000000000e+001	(6.21630621202428e+001dB,1.78824550164972e+002°)
1.12201845430196e+001	(6.21625902198608e+001dB,1.78681171029060e+002°)
1.25892541179417e+001	(6.21619962053786e+001dB,1.78520316692588e+002°)
1.41253754462275e+001	(6.21612485009596e+001dB,1.78339862962554e+002°)
1.58489319246111e+001	(6.21603073798690e+001dB,1.78137429794060e+002°)
1.77827941003892e+001	(6.21591228685248e+001dB,1.77910351444221e+002°)
1.99526231496888e+001	(6.21576321163180e+001dB,1.77655643546928e+002°)
2.23872113856834e+001	(6.21557560977964e+001dB,1.77369966962066e+002°)
2.51188643150958e+001	(6.21533954821090e+001dB,1.77049588327333e+002°)
2.81838293126445e+001	(6.21504254663398e+001dB,1.76690337360940e+002°)
3.16227766016838e+001	(6.21466893237423e+001dB,1.76287561148492e+002°)
3.54813389233575e+001	(6.21419903644541e+001dB,1.75836075923639e+002°)
3.98107170553497e+001	(6.21360819452225e+001dB,1.75330117255238e+002°)
4.46683592150963e+001	(6.21286550974414e+001dB,1.74763290130858e+002°)
5.01187233627272e+001	(6.21193232729598e+001dB,1.74128521238282e+002°)
5.62341325190348e+001	(6.21076036417749e+001dB,1.73418016869247e+002°)
6.30957344480192e+001	(6.20928943275143e+001dB,1.72623231393491e+002°)
7.07945784384137e+001	(6.20744469566106e+001dB,1.71734853275244e+002°)
7.94328234724280e+001	(6.20513339585279e+001dB,1.70742818221442e+002°)
8.91250938133744e+001	(6.20224102372903e+001dB,1.69636362316229e+002°)
9.99999999999998e+001	(6.19862692100941e+001dB,1.68404131869561e+002°)
1.12201845430196e+002	(6.19411938719567e+001dB,1.67034370956965e+002°)
1.25892541179417e+002	(6.18851046114301e+001dB,1.65515211682507e+002°)
1.41253754462275e+002	(6.18155070902974e+001dB,1.63835094951306e+002°)
1.58489319246111e+002	(6.17294456919136e+001dB,1.61983349130075e+002°)
1.77827941003892e+002	(6.16234708065804e+001dB,1.59950947640107e+002°)
1.99526231496888e+002	(6.14936312910529e+001dB,1.57731450723703e+002°)
2.23872113856833e+002	(6.13355061584927e+001dB,1.55322107745048e+002°)
2.51188643150957e+002	(6.11442907589567e+001dB,1.52725052441172e+002°)
2.81838293126445e+002	(6.09149507563171e+001dB,1.49948466955854e+002°)
3.16227766016837e+002	(6.06424503589517e+001dB,1.47007531420654e+002°)
3.54813389233575e+002	(6.03220485621328e+001dB,1.43924934027593e+002°)
3.98107170553496e+002	(5.99496396690566e+001dB,1.40730718487206e+002°)
4.46683592150962e+002	(5.95220961145415e+001dB,1.37461314690472e+002°)
5.01187233627271e+002	(5.90375592803531e+001dB,1.34157738364630e+002°)
5.62341325190348e+002	(5.84956244079479e+001dB,1.30863128476656e+002°)
6.30957344480192e+002	(5.78973820478307e+001dB,1.27619959187841e+002°)
7.07945784384136e+002	(5.72453072970012e+001dB,1.24467351868516e+002°)
7.94328234724279e+002	(5.65430199329740e+001dB,1.21438884937252e+002°)
8.91250938133743e+002	(5.57949624765151e+001dB,1.18561166899096e+002°)
9.99999999999997e+002	(5.50060521878213e+001dB,1.15853254638242e+002°)
1.12201845430196e+003	(5.41813568175029e+001dB,1.13326830214268e+002°)
1.25892541179416e+003	(5.33258279486374e+001dB,1.10986940891835e+002°)
1.41253754462275e+003	(5.24441071698169e+001dB,1.08833071199809e+002°)
1.58489319246111e+003	(5.15404047320113e+001dB,1.06860337489787e+002°)
1.77827941003892e+003	(5.06184403654967e+001dB,1.05060648274318e+002°)
1.99526231496887e+003	(4.96814315373733e+001dB,1.03423733405062e+002°)
2.23872113856833e+003	(4.87321141587201e+001dB,1.01937996609287e+002°)
2.51188643150957e+003	(4.77727828327553e+001dB,1.00591182838407e+002°)
2.81838293126444e+003	(4.68053407272587e+001dB,9.93708743147737e+001°)
3.16227766016837e+003	(4.58313521354688e+001dB,9.82648401115873e+001°)
3.54813389233574e+003	(4.48520933034180e+001dB,9.72612672854989e+001°)
3.98107170553496e+003	(4.38685990075115e+001dB,9.63489002297163e+001°)
4.46683592150961e+003	(4.28817036971013e+001dB,9.55171113671390e+001°)
5.01187233627270e+003	(4.18920768788838e+001dB,9.47559220450601e+001°)
5.62341325190347e+003	(4.09002529335525e+001dB,9.40559883570214e+001°)
6.30957344480190e+003	(3.99066558270495e+001dB,9.34085629960064e+001°)
7.07945784384135e+003	(3.89116192927266e+001dB,9.28054412651177e+001°)
7.94328234724278e+003	(3.79154030773676e+001dB,9.22388970246733e+001°)
8.91250938133741e+003	(3.69182058046846e+001dB,9.17016125614742e+001°)
9.99999999999995e+003	(3.59201749412673e+001dB,9.11866050299140e+001°)
1.12201845430196e+004	(3.49214142683203e+001dB,9.06871511415386e+001°)
1.25892541179416e+004	(3.39219891770793e+001dB,9.01967110886954e+001°)
1.41253754462275e+004	(3.29219300211289e+001dB,8.97088522146288e+001°)
1.58489319246111e+004	(3.19212336766318e+001dB,8.92171726390746e+001°)
1.77827941003891e+004	(3.09198633816367e+001dB,8.87152248827214e+001°)
1.99526231496887e+004	(2.99177468471093e+001dB,8.81964394875956e+001°)
2.23872113856833e+004	(2.89147725536660e+001dB,8.76540486982906e+001°)
2.51188643150957e+004	(2.79107840677611e+001dB,8.70810104585977e+001°)
2.81838293126444e+004	(2.69055721283692e+001dB,8.64699333103314e+001°)
3.16227766016836e+004	(2.58988641701973e+001dB,8.58130032910724e+001°)
3.54813389233573e+004	(2.48903108642646e+001dB,8.51019146659864e+001°)
3.98107170553495e+004	(2.38794691766113e+001dB,8.43278073633590e+001°)
4.46683592150960e+004	(2.28657813812629e+001dB,8.34812153978448e+001°)
5.01187233627269e+004	(2.18485494323302e+001dB,8.25520324553425e+001°)
5.62341325190346e+004	(2.08269041313771e+001dB,8.15295032742695e+001°)
6.30957344480189e+004	(1.97997686645314e+001dB,8.04022525587568e+001°)
7.07945784384133e+004	(1.87658163939971e+001dB,7.91583668929578e+001°)
7.94328234724276e+004	(1.77234233589053e+001dB,7.77855493248494e+001°)
8.91250938133740e+004	(1.66706168812936e+001dB,7.62713704925309e+001°)
9.99999999999993e+004	(1.56050231050017e+001dB,7.46036434384981e+001°)
1.12201845430196e+005	(1.45238183163503e+001dB,7.27709499633802e+001°)
1.25892541179416e+005	(1.34236915150808e+001dB,7.07633419977079e+001°)
1.41253754462274e+005	(1.23008287339898e+001dB,6.85732286496159e+001°)
1.58489319246110e+005	(1.11509325129529e+001dB,6.61964346081050e+001°)
1.77827941003891e+005	(9.96929169819346e+000dB,6.36333757795947e+001°)
1.99526231496887e+005	(8.75091582906964e+000dB,6.08902442969094e+001°)
2.23872113856832e+005	(7.49074301639877e+000dB,5.79800351016570e+001°)
2.51188643150956e+005	(6.18391912367773e+000dB,5.49231972882792e+001°)
2.81838293126443e+005	(4.82612961754575e+000dB,5.17476806450925e+001°)
3.16227766016835e+005	(3.41394683864554e+000dB,4.84881968771014e+001°)
3.54813389233573e+005	(1.94514075121694e+000dB,4.51846367995390e+001°)
3.98107170553494e+005	(4.18897607925666e-001dB,4.18797607310808e+001°)
4.46683592150960e+005	(-1.16409702573386e+000dB,3.86164581981528e+001°)
5.01187233627268e+005	(-2.80172831148993e+000dB,3.54349889548771e+001°)
5.62341325190344e+005	(-4.49066051060375e+000dB,3.23706225296723e+001°)
6.30957344480188e+005	(-6.22664190675967e+000dB,2.94519858107480e+001°)
7.07945784384132e+005	(-8.00485110875020e+000dB,2.67002521570756e+001°)
7.94328234724275e+005	(-9.82023194672472e+000dB,2.41291269160886e+001°)
8.91250938133738e+005	(-1.16677781858474e+001dB,2.17454565219548e+001°)
9.99999999999991e+005	(-1.35427478320694e+001dB,1.95502331167856e+001°)
1.12201845430195e+006	(-1.54408036078592e+001dB,1.75397749720491e+001°)
1.25892541179416e+006	(-1.73580877789152e+001dB,1.57069099524703e+001°)
1.41253754462274e+006	(-1.92912453301354e+001dB,1.40420490797963e+001°)
1.58489319246110e+006	(-2.12374107119588e+001dB,1.25340919591885e+001°)
1.77827941003891e+006	(-2.31941717765360e+001dB,1.11711469497216e+001°)
1.99526231496886e+006	(-2.51595216660522e+001dB,9.94107514829217e+000°)
2.23872113856832e+006	(-2.71318063682919e+001dB,8.83188098753031e+000°)
2.51188643150956e+006	(-2.91096729873132e+001dB,7.83197721264756e+000°)
2.81838293126443e+006	(-3.10920217016093e+001dB,6.93035162786644e+000°)
3.16227766016835e+006	(-3.30779629009833e+001dB,6.11665988208902e+000°)
3.54813389233572e+006	(-3.50667800130052e+001dB,5.38126440009539e+000°)
3.98107170553494e+006	(-3.70578979299764e+001dB,4.71523534861889e+000°)
4.46683592150959e+006	(-3.90508566156301e+001dB,4.11032574916704e+000°)
5.01187233627268e+006	(-4.10452893168801e+001dB,3.55892969779408e+000°)
5.62341325190344e+006	(-4.30409047629357e+001dB,3.05403014248628e+000°)
6.30957344480187e+006	(-4.50374727556459e+001dB,2.58914073582180e+000°)
7.07945784384131e+006	(-4.70348126105125e+001dB,2.15824482848961e+000°)
7.94328234724274e+006	(-4.90327839783325e+001dB,1.75573360004183e+000°)
8.91250938133737e+006	(-5.10312796516669e+001dB,1.37634454929192e+000°)
9.99999999999990e+006	(-5.30302200321980e+001dB,1.01510101544361e+000°)
1.12201845430195e+007	(-5.50295490017376e+001dB,6.67253015061889e-001°)
1.25892541179415e+007	(-5.70292310003677e+001dB,3.28219415869915e-001°)
1.41253754462274e+007	(-5.90292491703150e+001dB,-6.46870579008008e-003°)
1.58489319246110e+007	(-6.10296044747374e+001dB,-3.41223783452499e-001°)
1.77827941003890e+007	(-6.30303157480151e+001dB,-6.80456867777360e-001°)
1.99526231496886e+007	(-6.50314206799921e+001dB,-1.02863244295781e+000°)
2.23872113856832e+007	(-6.70329777825290e+001dB,-1.39032323641389e+000°)
2.51188643150955e+007	(-6.90350694343512e+001dB,-1.77026522150036e+000°)
2.81838293126442e+007	(-7.10378061510229e+001dB,-2.17341286982755e+000°)
3.16227766016834e+007	(-7.30413322822662e+001dB,-2.60499448991586e+000°)
3.54813389233572e+007	(-7.50458333996040e+001dB,-3.07056716516798e+000°)
3.98107170553493e+007	(-7.70515457034539e+001dB,-3.57607033803523e+000°)
4.46683592150958e+007	(-7.90587678488076e+001dB,-4.12787642598748e+000°)
5.01187233627267e+007	(-8.10678756583981e+001dB,-4.73283592827584e+000°)
5.62341325190343e+007	(-8.30793402533239e+001dB,-5.39831320034287e+000°)
6.30957344480186e+007	(-8.50937501680143e+001dB,-6.13220732472870e+000°)
7.07945784384130e+007	(-8.71118380026973e+001dB,-6.94295016860159e+000°)
7.94328234724272e+007	(-8.91345120591041e+001dB,-7.83947066768414e+000°)
8.91250938133735e+007	(-9.11628931370571e+001dB,-8.83111054015953e+000°)
9.99999999999989e+007	(-9.31983561421619e+001dB,-9.92747207055687e+000°)
1.12201845430195e+008	(-9.52425752322461e+001dB,-1.11381736583510e+001°)
1.25892541179415e+008	(-9.72975697444354e+001dB,-1.24724843819818e+001°)
1.41253754462274e+008	(-9.93657459252835e+001dB,-1.39388066565979e+001°)
1.58489319246109e+008	(-1.01449926437807e+002dB,-1.55439792044068e+001°)
1.77827941003890e+008	(-1.03553355872793e+002dB,-1.72923855129154e+001°)
1.99526231496886e+008	(-1.05679666636746e+002dB,-1.91848812150473e+001°)
2.23872113856831e+008	(-1.07832786927187e+002dB,-2.12176020115264e+001°)
2.51188643150955e+008	(-1.10016773149028e+002dB,-2.33807818758443e+001°)
2.81838293126442e+008	(-1.12235555627412e+002dB,-2.56577895584078e+001°)
3.16227766016834e+008	(-1.14492600718634e+002dB,-2.80246563839393e+001°)
3.54813389233571e+008	(-1.16790513888714e+002dB,-3.04503850906463e+001°)
3.98107170553492e+008	(-1.19130632592918e+002dB,-3.28982640454657e+001°)
4.46683592150958e+008	(-1.21512676738539e+002dB,-3.53282512791304e+001°)
5.01187233627266e+008	(-1.23934529258635e+002dB,-3.77002650843357e+001°)
5.62341325190342e+008	(-1.26392204855412e+002dB,-3.99779864143396e+001°)
6.30957344480185e+008	(-1.28880033591864e+002dB,-4.21326178951692e+001°)
7.07945784384129e+008	(-1.31391046651807e+002dB,-4.41460035295127e+001°)
7.94328234724271e+008	(-1.33917515041917e+002dB,-4.60125929531127e+001°)
8.91250938133734e+008	(-1.36451565560233e+002dB,-4.77398975522121e+001°)
1.00000000000000e+009	(-1.38985783892960e+002dB,-4.93472897122486e+001°)
Step Information: Temp=125  (Run: 3/3)
1.00000000000000e+001	(5.67733819207255e+001dB,1.78914306903428e+002°)
1.12201845430196e+001	(5.67729793645268e+001dB,1.78781869750999e+002°)
1.25892541179417e+001	(5.67724726293493e+001dB,1.78633288336786e+002°)
1.41253754462275e+001	(5.67718347716171e+001dB,1.78466599149960e+002°)
1.58489319246111e+001	(5.67710318894950e+001dB,1.78279601726890e+002°)
1.77827941003892e+001	(5.67700213317951e+001dB,1.78069830820996e+002°)
1.99526231496888e+001	(5.67687494492905e+001dB,1.77834525620943e+002°)
2.23872113856834e+001	(5.67671487735417e+001dB,1.77570595838351e+002°)
2.51188643150958e+001	(5.67651344806691e+001dB,1.77274584537736e+002°)
2.81838293126445e+001	(5.67625999638697e+001dB,1.76942627668323e+002°)
3.16227766016838e+001	(5.67594112980048e+001dB,1.76570410395232e+002°)
3.54813389233575e+001	(5.67554003315782e+001dB,1.76153120537587e+002°)
3.98107170553497e+001	(5.67503560855699e+001dB,1.75685399732368e+002°)
4.46683592150963e+001	(5.67440140753972e+001dB,1.75161293394157e+002°)
5.01187233627272e+001	(5.67360431037243e+001dB,1.74574201183458e+002°)
5.62341325190348e+001	(5.67260290024200e+001dB,1.73916830595429e+002°)
6.30957344480192e+001	(5.67134547402391e+001dB,1.73181157517366e+002°)
7.07945784384137e+001	(5.66976762736850e+001dB,1.72358399271200e+002°)
7.94328234724280e+001	(5.66778935263811e+001dB,1.71439007855881e+002°)
8.91250938133744e+001	(5.66531159750673e+001dB,1.70412693919387e+002°)
9.99999999999998e+001	(5.66221225541399e+001dB,1.69268495454386e+002°)
1.12201845430196e+002	(5.65834160439536e+001dB,1.67994909238376e+002°)
1.25892541179417e+002	(5.65351728829715e+001dB,1.66580107309865e+002°)
1.41253754462275e+002	(5.64751905593420e+001dB,1.65012264573850e+002°)
1.58489319246111e+002	(5.64008365068751e+001dB,1.63280025645057e+002°)
1.77827941003892e+002	(5.63090048107204e+001dB,1.61373137133556e+002°)
1.99526231496888e+002	(5.61960899296447e+001dB,1.59283262715923e+002°)
2.23872113856833e+002	(5.60579896944679e+001dB,1.57004978838548e+002°)
2.51188643150957e+002	(5.58901522422879e+001dB,1.54536915428505e+002°)
2.81838293126445e+002	(5.56876819642276e+001dB,1.51882957574643e+002°)
3.16227766016837e+002	(5.54455162466578e+001dB,1.49053365266694e+002°)
3.54813389233575e+002	(5.51586761604757e+001dB,1.46065612009098e+002°)
3.98107170553496e+002	(5.48225798302518e+001dB,1.42944711902072e+002°)
4.46683592150962e+002	(5.44333889128760e+001dB,1.39722825535780e+002°)
5.01187233627271e+002	(5.39883414131152e+001dB,1.36438026850722e+002°)
5.62341325190348e+002	(5.34860150350773e+001dB,1.33132271022318e+002°)
